country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Population growth rate (average annual %)
Afghanistan,SouthernAsia,652864,35530,54.4,20270,-2.4,623.2,23.3,23.3,53.3,61.6,10,28.5,8.6,3.2
Albania,SouthernEurope,28748,2930,106.9,11541,2.6,3984.2,22.4,26,51.7,41.4,18.3,40.3,15.8,-0.1
Algeria,NorthernAfrica,2381741,41318,17.3,164779,3.8,4154.1,12.2,37.3,50.5,10.8,34.5,54.7,11.4,2
American Samoa,Polynesia,199,56,278.2,-99,-99,-99,-99,-99,-99,...,...,...,...,-~0.0
Andorra,SouthernEurope,468,77,163.8,2812,0.8,39896.4,0.5,10.8,88.6,-99,-99,-99,-99,-1.6
Angola,MiddleAfrica,1246700,29784,23.9,117955,3,4714.1,6.8,51.2,42,4.2,37.6,58.2,6.6,3.5
Anguilla,Caribbean,91,15,165.7,320,2.9,21879.6,2.3,15.7,82,...,...,...,...,1.2
Antigua and Barbuda,Caribbean,442,102,231.8,1356,4.1,14764.5,1.9,18.3,79.8,...,...,...,...,1.1
Argentina,SouthAmerica,2780400,44271,16.2,632343,2.4,14564.5,6,27.8,66.2,2,24.8,73.1,6.5,1
Armenia,WesternAsia,29743,2930,102.9,10529,3,3489.1,19,28.3,52.8,35,15.7,49.3,16.6,0.3
Aruba,Caribbean,180,105,584.8,2702,0.1,26005.4,0.5,15.4,84.1,0.6,14,85.1,...,0.5
Australia,Oceania,7692060,24451,3.2,1230859,2.4,51352.2,2.5,26.5,71.1,2.7,21.2,76.1,5.5,1.5
Austria,WesternEurope,83871,8736,106,376967,1,44117.7,1.3,28.3,70.4,4.7,25.6,69.7,6.2,0.6
Azerbaijan,WesternAsia,86600,9828,118.9,53049,0.7,5438.7,6.7,49.9,43.4,36.7,14.2,49.1,5.2,1.3
Bahamas,Caribbean,13940,395,39.5,8854,-1.7,22817.2,1.6,12.7,85.7,3.9,14.2,81.9,14.7,1.4
Bahrain,WesternAsia,771,1493,1963.9,31126,2.9,22600.2,0.3,40.7,59,1,33.4,65.6,1.3,2
Bangladesh,SouthernAsia,147570,164670,1265,194466,6.6,1207.9,15.5,28.1,56.3,40.6,19.1,40.3,4,1.2
Barbados,Caribbean,431,286,664.5,4385,0.9,15429.4,1.7,12.1,86.2,2.8,19.3,77.9,11.3,0.3
Belarus,EasternEurope,207600,9468,46.7,54609,-3.9,5750.8,7.5,38.9,53.6,9.6,32,58.4,0.5,~0.0
Belgium,WesternEurope,30528,11429,377.5,455107,1.5,40277.8,0.7,22.2,77.1,1.2,21.2,77.6,8.3,0.6
Belize,CentralAmerica,22966,375,16.4,1721,1.2,4789.4,14.6,18.5,66.9,16.1,15.9,67.9,11.5,2.2
Benin,WesternAfrica,114763,11176,99.1,8476,5.2,779.1,23.2,24.9,51.9,43.2,10.2,46.6,1,2.8
Bermuda,NorthernAmerica,53,61,1227,5853,0.4,94399.9,0.7,5.3,94,1.6,10.3,87.6,6.7,-0.6
Bhutan,SouthernAsia,38394,808,21.2,2074,5.2,2677.1,17.2,43.9,38.8,56.6,9.7,33.7,2.4,1.6
Bolivia (Plurinational State of),SouthAmerica,1098581,11052,10.2,32998,4.8,3076.8,12.6,31,56.5,29.5,21.1,49.4,3.8,1.6
"Bonaire, Sint Eustatius and Saba",Caribbean,-99,25,77.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.2
Bosnia and Herzegovina,SouthernEurope,51209,3507,68.8,16251,3.1,4265,7.3,26.5,66.2,18,30.4,51.7,25.4,-1
Botswana,SouthernAfrica,582000,2292,4,14391,-0.3,6360.6,2.4,33.4,64.2,25.7,14.9,59.4,18.6,1.8
Brazil,SouthAmerica,8515767,209288,25,1772591,-3.8,8528.3,5.2,22.7,72,15.2,21.5,63.2,12.4,0.9
British Virgin Islands,Caribbean,151,31,208,908,-1.1,30144.5,1,11.1,87.8,...,...,...,-99,2
Brunei Darussalam,South-easternAsia,5765,429,81.3,12930,-0.6,30552.7,1.1,60.2,38.7,0.6,19.4,80.1,2.1,1.4
Bulgaria,EasternEurope,111002,7085,65.3,48953,3,6846.8,5.1,27.6,67.2,6.5,29.4,64.1,8.1,-0.6
